Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
246,60.00,68.25,39.00,60.00,63.50,37.25,0.00,0,1,1,0,"353
"
247,60.00,59.75,38.50,59.50,63.25,37.50,0.00,0,1,0,1,"353
"
248,59.50,60.50,38.50,59.75,63.50,37.50,0.00,0,0,1,1,"352
"
249,59.75,62.25,39.00,60.00,63.25,37.75,0.00,1,0,1,0,"353
"
250,59.75,66.75,39.00,60.00,63.50,37.25,0.00,0,0,1,1,"352
"
251,59.75,68.50,39.00,59.75,63.25,37.50,0.00,1,1,1,0,"353
"
252,59.75,69.75,39.00,60.00,63.50,37.50,0.00,0,1,1,1,"352
"
253,59.75,67.25,38.75,59.50,63.50,37.50,0.00,1,0,1,0,"353
"
254,59.50,69.00,38.75,60.25,63.50,37.00,0.00,0,0,1,0,"353
"
255,59.75,69.00,39.00,59.75,63.25,37.25,0.00,1,0,0,0,"353
"
256,60.25,69.00,38.75,59.75,63.50,37.50,0.00,0,1,0,0,"353
"
257,60.25,69.25,38.75,60.25,63.50,37.00,0.00,1,1,1,0,"353
"
258,60.00,64.50,39.00,60.00,63.00,37.75,0.00,1,0,0,1,"353
"
259,60.00,67.00,39.00,59.75,63.50,37.50,0.00,1,1,0,1,"353
"
260,60.00,82.75,38.50,59.75,63.25,37.25,0.00,0,0,0,0,"353
"
261,60.00,81.50,38.50,60.00,63.50,37.50,0.00,0,1,1,0,"353
"
262,59.75,82.75,38.50,60.25,63.50,37.50,0.00,1,0,1,1,"353
"
263,59.50,79.75,38.75,60.00,63.75,37.50,0.00,1,0,0,1,"352
"
264,59.25,82.00,39.00,60.00,63.50,36.50,0.00,0,0,1,0,"353
"
265,60.25,84.75,38.75,59.75,63.75,37.50,0.00,1,1,1,0,"353
"
266,60.00,86.75,38.50,60.00,63.50,37.50,0.00,1,1,1,1,"352
"
267,59.75,85.25,38.75,60.00,63.25,37.50,0.00,1,0,1,0,"353
"
268,60.00,88.50,39.00,60.25,63.50,37.25,0.00,1,0,0,1,"352
"
269,60.00,90.25,38.50,60.50,63.75,37.00,0.00,1,1,1,1,"353
"
270,60.00,89.50,39.00,60.00,63.50,37.50,0.00,0,0,1,0,"353
"
271,59.50,89.00,38.50,60.00,63.50,37.25,0.00,0,0,0,1,"353
"
272,60.25,91.50,38.50,60.50,63.50,37.50,0.00,0,0,0,1,"353
"
273,60.00,91.50,38.50,60.50,63.25,37.25,0.00,0,0,1,0,"353
"
274,59.50,95.25,38.75,59.75,63.50,37.25,0.00,0,1,1,1,"353
"
275,60.00,97.50,38.75,60.50,63.50,37.50,0.00,0,1,0,0,"353
"
276,59.50,99.75,39.00,60.25,63.50,37.50,0.00,0,0,1,1,"354
"
277,60.00,105.25,38.75,60.25,63.50,37.75,0.00,0,1,1,0,"354
"
278,60.00,104.75,39.00,60.50,63.50,37.50,0.00,1,1,0,0,"354
"
279,60.25,103.50,38.75,60.50,63.75,37.50,0.00,1,1,0,0,"353
"
280,60.00,104.00,38.75,60.50,63.25,37.75,0.00,1,1,1,0,"354
"
281,60.25,105.75,38.75,60.25,63.50,37.50,0.00,1,1,1,0,"354
"
282,60.00,106.25,38.75,60.50,62.75,37.25,0.00,1,1,0,1,"353
"
283,60.00,108.00,38.25,60.75,63.25,37.50,0.00,1,0,1,1,"354
"
284,60.00,112.00,38.75,60.00,63.25,37.75,0.00,0,1,1,0,"353
"
285,60.00,113.00,38.75,60.75,63.25,37.25,0.00,1,1,0,1,"354
"
286,60.00,112.00,38.50,60.50,63.50,37.25,0.00,1,0,0,0,"354
"
287,60.00,112.00,38.75,60.50,63.00,37.50,0.00,1,1,1,1,"354
"
288,60.00,112.75,38.75,60.00,63.25,37.00,0.00,0,1,1,1,"354
"
289,60.00,112.50,38.75,60.75,63.25,37.50,0.00,0,0,1,1,"354
"
290,59.75,112.00,38.75,60.25,63.50,37.75,0.00,1,1,1,0,"354
"
291,59.75,112.50,38.50,60.50,62.75,37.25,0.00,1,0,1,1,"354
"
292,59.75,112.75,39.00,60.50,63.25,37.25,0.00,0,0,0,1,"353
"
293,59.75,112.50,38.75,60.25,63.00,37.00,0.00,1,0,1,0,"354
"
294,60.00,112.25,39.00,60.00,63.25,37.00,0.00,0,1,1,1,"354
"
295,59.75,112.50,38.75,60.00,63.00,37.50,0.00,0,0,1,1,"354
"
296,60.00,112.50,38.75,60.50,63.00,37.25,0.00,1,1,1,1,"354
"
297,60.00,112.50,38.75,60.75,63.25,37.25,0.00,1,0,1,0,"354
"
298,59.50,112.00,39.00,60.50,62.25,37.00,0.00,1,0,0,0,"354
"
299,60.00,112.50,38.50,60.75,62.75,37.25,0.00,1,0,0,1,"354
"
300,59.75,112.50,39.00,60.75,63.00,37.25,0.00,1,0,0,1,"354
"
301,60.00,112.00,39.00,60.25,63.25,37.25,0.00,0,1,0,1,"354
"
302,59.75,112.00,37.75,60.75,63.00,36.75,0.00,1,1,0,1,"354
"
303,59.75,111.75,39.00,60.75,63.25,37.25,0.00,0,1,1,1,"354
"
304,59.50,112.00,38.75,60.50,62.75,37.25,0.00,1,0,1,1,"354
"
305,59.50,111.75,38.75,60.50,63.00,37.00,0.00,1,0,0,1,"354
"
306,60.00,111.75,38.75,60.75,62.75,37.50,0.00,0,0,0,0,"354
"
307,59.75,112.25,38.75,60.00,63.25,37.00,0.00,1,0,0,0,"354
"
308,60.00,112.25,38.50,60.75,62.75,37.25,0.00,0,1,1,0,"355
"
309,59.50,111.75,39.00,60.25,63.00,37.25,0.00,1,0,0,1,"354
"
310,59.75,113.00,38.75,60.50,63.00,37.50,0.00,1,0,0,0,"354
"
311,59.50,113.25,38.75,61.00,63.00,37.25,0.00,1,1,0,1,"354
"
312,59.50,112.50,38.50,60.75,62.75,37.25,0.00,1,0,0,0,"354
"
313,59.75,112.25,38.75,60.50,62.75,37.25,0.00,0,0,1,1,"354
"
314,60.00,112.25,38.75,60.75,62.75,37.00,0.00,1,0,1,1,"354
"
315,59.75,112.50,38.25,60.50,63.00,37.00,0.00,1,0,0,1,"354
"
316,60.00,113.25,38.75,60.75,62.50,37.25,0.00,0,1,1,1,"354
"
317,59.50,113.00,39.00,60.25,63.00,37.25,0.00,1,1,0,1,"354
"
318,59.75,112.25,38.75,61.00,62.50,37.50,0.00,1,1,1,1,"354
"
319,59.50,112.25,38.50,60.75,62.50,37.00,0.00,1,1,1,1,"354
"
