Time(s),Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Water Outlet,Water Inlet,V1,V2,V3,V4,,
386,72.75,67.25,60.25,67.25,39,37.25,0,0,0,1,,
387,72.5,66.75,60.75,66.75,38.5,37,0,0,0,0,,
388,72.75,67,60,67,38.5,37.25,1,0,0,0,,
389,73,66.5,60.25,66.5,38.5,37.25,0,0,0,0,,
390,73,66.5,60,66.5,39,37.5,1,0,0,0,,
391,72.75,66.75,60.25,66.75,39,37.5,1,1,0,1,,
392,72.75,67.25,60,67.25,38.5,37.25,1,0,1,0,,
393,72.75,66.75,60,66.75,38.75,37.25,0,1,0,1,,
394,72.75,66.75,59.75,66.75,38,37,0,0,0,0,,
395,72.75,66.75,60.25,66.75,39,37.25,0,1,1,1,,
396,73,66.75,59.5,66.75,39,36.75,0,0,0,1,,
397,72.75,67,60.25,67,38,37,0,0,0,0,,
398,72.75,66.75,60,66.75,39,37,0,1,0,1,,
399,73.25,66.75,60,66.75,39,37,0,1,0,1,,
400,73.25,67,59.5,67,38.5,37,0,1,0,0,,
401,73,67,59.75,67,38.25,37.25,0,0,0,0,,
402,73,66.75,59.5,66.75,38.75,36.5,1,0,0,0,,
403,72.5,66.75,60,66.75,38.5,36.75,0,1,0,1,,
404,73,66.5,60.25,66.5,38.75,37.25,0,0,1,0,,
405,72.5,66.75,60,66.75,38.25,37.25,0,0,0,0,,
406,72.75,66.75,60,66.75,38.75,36.25,0,1,0,1,,
407,73,66.75,60.25,66.75,39,37,1,1,0,1,,
408,72.75,66.75,60.25,66.75,38.75,37,0,1,0,1,,
409,73,66.5,60,66.5,38.75,37.25,0,0,0,0,,
410,72.75,66.5,60,66.5,39,37,0,1,0,1,,
